GHO,Indicator,PUBLISHSTATE,PUBLISH STATES,YEAR,Year,REGION,WHO region,COUNTRY,Country,SEX,Sex,Display Value,Numeric Value,Low Value,High Value,Comments
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,WPR,Western Pacific,AUS,Australia,BTSX,Both sexes,80,80,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,WPR,Western Pacific,AUS,Australia,MLE,Male,80,80,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,WPR,Western Pacific,AUS,Australia,FMLE,Female,84,84,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,WPR,Western Pacific,AUS,Australia,BTSX,Both sexes,82,82,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EUR,Europe,AUT,Austria,MLE,Male,73,73,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EUR,Europe,AUT,Austria,FMLE,Female,79,79,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EUR,Europe,AUT,Austria,BTSX,Both sexes,76,76,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,AUT,Austria,MLE,Male,75,75,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,AUT,Austria,FMLE,Female,82,82,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,AUT,Austria,BTSX,Both sexes,79,79,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EUR,Europe,AUT,Austria,MLE,Male,78,78,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EUR,Europe,AUT,Austria,FMLE,Female,84,84,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EUR,Europe,AUT,Austria,BTSX,Both sexes,81,81,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EUR,Europe,AZE,Azerbaijan,MLE,Male,60,60,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EUR,Europe,AZE,Azerbaijan,FMLE,Female,66,66,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EUR,Europe,AZE,Azerbaijan,BTSX,Both sexes,63,63,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,AZE,Azerbaijan,MLE,Male,64,64,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,AZE,Azerbaijan,FMLE,Female,69,69,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,AZE,Azerbaijan,BTSX,Both sexes,67,67,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EUR,Europe,AZE,Azerbaijan,MLE,Male,69,69,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EUR,Europe,AZE,Azerbaijan,FMLE,Female,74,74,,,
